Date,Deaths,growth,base
15/03/2020,14.00,0,1
16/03/2020,20.00,1.428571429,1
17/03/2020,16.00,0.8,1
18/03/2020,32.00,2,1
19/03/2020,41.00,1.28125,1
20/03/2020,33.00,0.804878049,1
21/03/2020,56.00,1.696969697,1
22/03/2020,48.00,0.857142857,1
23/03/2020,54.00,1.125,1
24/03/2020,87.00,1.611111111,1
25/03/2020,41.00,0.471264368,1
26/03/2020,115.00,2.804878049,1
27/03/2020,181.00,1.573913043,1
28/03/2020,260.00,1.436464088,1
29/03/2020,208.00,0.8,1
30/03/2020,180.00,0.865384615,1
31/03/2020,381.00,2.116666667,1
01/04/2020,563.00,1.477690289,1
02/04/2020,569.00,1.010657194,1
03/04/2020,684.00,1.202108963,1
04/04/2020,708.00,1.035087719,1
05/04/2020,621.00,0.877118644,1
06/04/2020,439.00,0.706924316,1
07/04/2020,786.00,1.790432802,1
08/04/2020,938.00,1.193384224,1
09/04/2020,881.00,0.939232409,1
10/04/2020,980.00,1.112372304,1
11/04/2020,917.00,0.935714286,1
