Date,Cases
31/01/2020,2.00
01/02/2020,0.00
02/02/2020,0.00
03/02/2020,0.00
04/02/2020,0.00
05/02/2020,0.00
06/02/2020,1.00
07/02/2020,0.00
08/02/2020,0.00
09/02/2020,1.00
10/02/2020,4.00
11/02/2020,0.00
12/02/2020,0.00
13/02/2020,1.00
14/02/2020,0.00
15/02/2020,0.00
16/02/2020,0.00
17/02/2020,0.00
18/02/2020,0.00
19/02/2020,0.00
20/02/2020,0.00
21/02/2020,0.00
22/02/2020,0.00
23/02/2020,0.00
24/02/2020,4.00
25/02/2020,0.00
26/02/2020,0.00
27/02/2020,0.00
28/02/2020,6.00
29/02/2020,4.00
01/03/2020,12.00
02/03/2020,5.00
03/03/2020,11.00
04/03/2020,34.00
05/03/2020,29.00
06/03/2020,46.00
07/03/2020,46.00
08/03/2020,65.00
09/03/2020,50.00
10/03/2020,52.00
11/03/2020,83.00
12/03/2020,139.00
13/03/2020,207.00
14/03/2020,264.00
15/03/2020,330.00
16/03/2020,152.00
17/03/2020,407.00
18/03/2020,676.00
19/03/2020,643.00
20/03/2020,714.00
21/03/2020,1035.00
22/03/2020,665.00
23/03/2020,967.00
24/03/2020,1427.00
25/03/2020,1452.00
26/03/2020,2129.00
27/03/2020,2885.00
28/03/2020,2546.00
29/03/2020,2433.00
30/03/2020,2619.00
31/03/2020,3009.00
01/04/2020,4324.00
02/04/2020,4244.00
03/04/2020,4450.00
