Date,UK,growth,base
09/03/2020,0,0,1
10/03/2020,6,0,1
11/03/2020,6,1,1
12/03/2020,8,1.333333333,1
13/03/2020,8,1,1
14/03/2020,21,2.625,1
15/03/2020,35,1.666666667,1
16/03/2020,55,1.571428571,1
17/03/2020,71,1.290909091,1
18/03/2020,103,1.450704225,1
19/03/2020,144,1.398058252,1
20/03/2020,177,1.229166667,1
21/03/2020,233,1.316384181,1
22/03/2020,281,1.206008584,1
23/03/2020,335,1.192170819,1
24/03/2020,422,1.259701493,1
25/03/2020,463,1.097156398,1
26/03/2020,578,1.24838013,1
27/03/2020,759,1.313148789,1
28/03/2020,1019,1.342555995,1
29/03/2020,1228,1.205103042,1
30/03/2020,1408,1.146579805,1
31/03/2020,1789,1.270596591,1
01/04/2020,2352,1.31470095,1
02/04/2020,2921,1.241921769,1
03/04/2020,3605,1.234166381,1
04/04/2020,4313,1.196393897,1
05/04/2020,4934,1.143983306,1
06/04/2020,5373,1.088974463,1
07/04/2020,6159,1.146286991,1
08/04/2020,7097,1.152297451,1
09/04/2020,7978,1.124136959,1
10/04/2020,8958,1.122837804,1
11/04/2020,9875,1.1023666,1
